投诉问题,投诉对象,发布日期,投诉要求,投诉内容
 无故征信显示贷款信息,宁波银行,2022年08月10日 23:42," 赔偿,道歉,解释",2022.8.10今天查询个人征信，发现多了一笔贷款记录，是2022年4月12日，宁波银行给我贷款21500元，现在显示余额951元。非本人办理贷款，本人根本无此贷款，也从无和宁波银行有过业务往来，请给予解释！
" 客服不处理,服务不到位,虚假宣传",宁波银行,2022年08月08日 16:04," 道歉,作出处罚,改善服务,解释,下架产品,停催延期还款",因为疫情原因家里有两个小孩和费用需要赡养，近大半年公司经营不善亏损了200多万目前经济压力非常大，第三方通过各种催收手段来恐吓我以及联系我的家人和朋友，严重影响我和家人和朋友的关系，要求停催延期当月尽能力去还款
" 虚假宣传,提前还款收取3%手续",宁波银行,2022年08月08日 13:19, 退款,2018年6月底，宁波银行客服经理打电话推销所万利金，当时说年化利率低，说我是优质客户，利息可以打88折优惠券，推荐我办理。在他们的说服下，我办理了40万万利金8年期，每期还本付息，当初说月利率0.6%*12=7.2%乘以0.88大概6.33%多点（销售人员当时不断地模糊手续费和月利率的概念，误导消费者以为贷款的年化利率就是6.33%）。我还了4年多的手续费之后，我才发现这里面利息其实很高，因为40万的本金，我已经还了20万8000多元了，只剩191***.59元本金没还，后期本金很少但利息跟之前一样，这算起来都有年化率10%多，发现利息计算完全不是当初说的那样！，我就打宁波银行客服电话申请提前还款，客服说可以提前还款，但却要付提前还款手续费，要付剩余本金的3%，要5749元，这算起来比高利贷还高！四年前办理这40万的万利金时，宁波银行万利金客服没有明确跟我讲提前还款要给三个点的手续费，如果算上这三个点的手续费，那每年的年化利率要到13%以上了！，宁波银行这样吸血贷款者太无道理！强烈要求宁波银行给我免掉所谓的提前还款手续费，让我尽快还清贷款！！！
 合作商户不诚信,宁波银行,2022年08月06日 23:54, 解释,2021年3月22日给我发放的一笔消费贷款。我根本就不知道。还是最近差征信报告。才发现有这么一笔贷款。
 协商还款金额,宁波银行,2022年08月06日 22:33, 减免高额罚息,刚逾期时跟客服协商还款金额，一直有意的不理我，当时疫情严重一直没有工作，加上出了事赔了几万块给人家，现在还没有还清，现在找到工作了一个月2700，想着把钱还上，一看到1万多想死的心都有了，恳请把高额罚息减免
 私自扣款,宁波银行,2022年08月05日 23:05, 退款,没有什么提示。就直就直接扣款了。要求解约。退款。
" 催收影响生活,不给协商",宁波银行,2022年08月05日 17:24," 给予协商政策,停止催收",我在京东金融APP里申请的宁波直接贷，额度有9000，因近几年大环境不好，生意失败导致不能按时还款，目前总负债22万，多次跟平台协商延期还款或做二次分期，我的诉求是6个月一次性还款，或二次分期12期，贵行一直不给予方案，现在还给我发律师函，我父母年纪也大啦，父亲还有高血压，因为这个受啦很大伤害，目前已影响到我的生活，我不是不还，赚钱是需要时间的，你们这么做会让我更存不到钱，怎么能还你们？请贵行给予协商方案，我会努力赚钱争取早日还给你们
 虚假宣传,宁波银行,2022年08月03日 10:03, 改善服务,宁波银行信用卡中心真的很让人失望！！！有两点：第一：虚假宣传，实物与宣传无完全不符。图一是宁波银行信用卡的网站宣传图，图二和图三是寄过来的实物！明眼人一看就知道相差有多大吧！请问这不是挂羊头，卖狗肉是什么？第二：就是宁波银行信用卡客服不作为。
 自动分期,宁波银行,2022年08月01日 11:57, 取消自动分期,时间脉络：1、7.3 8：00在异地线下刷卡消费，误刷成宁波银行信用卡，共两笔消费（3w和3w6）2、7.3 8：00微信公众账号推送消费信息，包含分期信息，试图去app内看明细3、7.3 9：00 未找到明细路径，和客户经理沟通明细路径，经理给出一个路径，查看无果，回复要25日账单日才可查看（有微信聊天记录，需要的话可以提供）4、25日账单日去查看，明确分期&amp;高额手续费，费率折算到先息后本，高达9%+，与宁波电话客服沟通，反馈取消分期要支付1900多的手续费，本人表示不能接受，答复要上升处理5、于8.1反馈不可支持费用减免，本人表示不接受。投诉：1、宁波银行给出的商户退款的解决方案，由于是异地，商户退款成本过高（存在不信任关系，本人先转账，商户再退款，还是商户先退款，本人再转账？），并且时间跨度很大2、作为客户，发现消费可能异常，及时和客户经理沟通，如果当时明确商户退款就可以解决问题，本人和商户双方都在场的情况下，应该很好操作。由于最后处理不合理，产生的损失，现在都要客户承担3、沟通过程中，宁波银行存在消极沟通的问题4、对于本人这种有丰富信用卡使用经验的人，都找不到明细入口，网上也有不少类似的投诉，质疑产品的交互合理性诉求：分期造成的一切费用由宁波银行承担
 私自查我征信,宁波银行,2022年07月31日 16:34, 解释,未经本人允许  私自 查我征信  没有任何业务往来
" 客服服务态度差,资金紧张申请延期",宁波银行,2022年07月31日 11:35, 资金紧张申请延期,由于疫情影响，资金紧张申请延期还款，但多次沟通无果且态度恶劣十分强硬，宁波银行直接贷逾期后工作人员了解我方无力偿还贷款却未及时跟进处理，导致我方罚息增多，后多次致电要求与银行协商还款未果。 要求宁波银行给予本金个性化分期，停止暴力催收，自己无法查看合同。
 信用卡奖品丢失,宁波银行,2022年07月31日 09:40," 退款,赔偿",本人在宁波银行上海临港网点，上门办信用卡的活动中，办了卡，并中了一个苹果airpods耳机（目前官网价值999元），银行工作人员7月13日用ems快递寄出（ems 1111727509***）。期间由于ems不当运输，造成包装破损，内件丢失。期间我和银行工作人员都已多次向ems申请理赔，要求原价赔偿（999元）但是ems均表示仅能赔偿70元，目前仍在扯皮中。目前诉求如下：1，银行协调推进赔偿：银行工作人员是个小姑娘，挺负责的，也一直在帮我协调上报，但是效果不是很好，希望银行上级部门能介入与ems进行交涉，尽快推动理赔工作。2、若无法推进快递赔偿，请补发：严格说起来，物品所有权归属为银行，理应是银行和ems沟通，对于我消费者而言，不应该介入其中的推诿扯皮。所以短时间如果无法达成一致，请尽快给我补发一份奖品，后续再由银行与快递自行沟通。作为用户 中奖本来是开心的事情，真的不想再这么闹心了，谢谢！
 私自扣款,宁波银行,2022年07月31日 07:24, 退款,办信用卡时客户经理未告知该卡消费到达1万会自动转成36期分期付款，我有三笔超过一万的消费进行了分期，并且在我本金归还后分期依然执行，到目前共扣除分期手续费522.72，我知情后要求结束分期，还扣除了我提前分期手续费1355，共造成损失1877.72。本人认为该行为侵犯了我的知情权，公平交易权，商家应该在分期之前经过我的同意再执行，而不是为了获取手续费强制客户实行分期，投诉该商家归还损失。
 自动分期不可取消,宁波银行,2022年07月30日 17:06, 取消当次自动分期业务,2022.07.30刷卡36699元被自动分期，当天打电话给客服要求取消，被告知需要3%手续费，不合理，希望能取消分期，按正常流程还款。
 功能限制,宁波银行,2022年07月29日 18:57, 注销支付协议,没有业务在还不可以注销支付协议，而且是要20年，这不是无法无天吗。
 套路贷，征收高手续费,宁波银行,2022年07月28日 10:17, 退回多收的手续费并退,宁波银行万利金业务违反2022年1月20日，中国银保监会官网发布《关于防范“套路”营销行为的风险提示》的文件指示精神，属于严重违纪侵犯消费者权益的行为。 2、经常有工作人员跟我推荐说手续费打折，这样年费率就省很多不，停宣传他利息低，推荐我办理，从未说过每期还款时对于已经归还的本金还依旧要计算利息。我以前2019年借过几笔钱，但是没有去关注，总以为应该不会跟其他银行的相差太大。今年3月，由于急需用钱，借出了30多万，这下子用钱紧张了，所以我仔细地看看每月到底要还多少。前两天通过前面几期的还款，我发现他们暗藏套路，每个月的还款利息均固定按照本金30多万来计算利息，本金是逐渐减少的，但已归还的本金还在计算利息，重复计算利息，严重侵害我的权益。而且上月还的钱，我这月一看，手续费竟然占了我还的钱一半。太黑了。 3、万利金借钱，页面上根本就没有提示年费率多少，就在主界面有个0.06%起。一个很含糊的手续费概念。同时，万利金没有提供过合同-还款计划书等文件明示客户，侵犯消费者的知情权，使消费者一直误以为年费率没有偶变更，但宁波银行采取已归还的本金依然收取利息的套路，侵害客户权益。对于已归还的本金还要计算利息的做法，从未明示过给消费者。涉嫌虚假宣传。4、宁波银行分期界面是否合规，我其中一笔，手续费显示为何是94080元，手续费竟然跟我所借的本金一样多？目前希望宁波银行方面能加紧处理该事宜，否则我必定会继续投诉。以期一个公道。另天猫投诉这么多万利金相关投诉，不知宁波银行如何去规范该业务。从19年到今天都有人不断被客户经理打马虎眼，以表面低的利率入坑，多少受害者还在继续被坑？宁波银行万利金业务员是否该被规整？ 5、发现他们对于提前还款竟然还要收3%的手续费！我现在强烈要求退还以前多扣的手续费，并且提前还款免除违约金，请国家监管部门调查！希望给我一个满意答复！看到黑猫平台有许多与我一般的受害者，后悔自己没有早点看到.下附上几张万利金借款截图
 信用卡催收,宁波银行,2022年07月27日 09:48," 解释,改善服务",我已于7月25日还清账单，并于宁波银行信用卡服务中心打电话确认，当月账单已还清，剩余账单可以每个月等出账再还或者可以申请提前还款，也就是没有逾期账单存在，结果宁波银行催收人员于7月26日并未于本人取得联系的情况下，直接打我爸电话进行催收，既然已无逾期账单，请问银行有啥权力进行催收？而且当天并未先给我打电话，这就是暴力催收，我希望相关部门对于这种行为进行处罚，并给予我道歉
 虚假宣传,宁波银行,2022年07月27日 08:09," 退款,解释,改善服务,赔偿,降低利率，取消提前",2019年接到客户经理电话推荐万利金产品，说分期利率打折以后非常划算，月息低至0.66%。这样我以为年化利率是7.92%，后来有朋友说这个利率是骗你的，我2022电话银行，问年化利率，果然，我这个万利金实际年化利率高达15%以上，才知道他们这个万利金利率算法和正常的贷款利率算法是不一样的。这两年吃了大亏。因为利率高，我在宁波银行操作提前还款的，发现他们对于提前还款竟然还要收3%的手续费！当时业务经理上门办理称随借随还，并未说要这么高手续费，我现在强烈要求降低年华利率，并免除提前还款手续费，万利金涉嫌虚假宣传，诱导业务办理，请国家监管部门严查！
" 虚假宣传,欺诈用户,违反法律",宁波银行,2022年07月26日 15:09," 道歉,赔偿","宁波银行工作人员宣传说新推出贷款业务万利金，手续费非常优惠，年化利息4左右还有限时优惠活动，同时一次授信可以重复使用，已还款金额还可以提出重复使用，最终在宁波银行工作人员指导下办理2笔共计50万的万利金业务（一笔30万、一笔20万），但是经过使用发现宁波银行万利金产品真实年化远远超过宣传利率，每月还掉的本金继续按照贷款总金额计算利息，截至目前一共还款38期，共计还款金额356***.98元，其中本金253***.08元，利息102***.9元，按照这个金额计算，目前的利息已经高达20.6%。如果全部按照宁波银行的还款要求，全部手续费为215***,元，按照50万贷款本金计算，利息高达43%，真是触目惊心啊！！！宁波银行工作人员称这是手续费不是利息，大玩文字游戏欺骗消费者。而且本人没有一次违约还款，系统显示卡片异常长期处于锁定状态，多次联系均未给出原因，总之目的就是不可以重新提款。同时联系宁波银行要求提前全额还款，告知要收取未还款本金部分3%的违约金。综上所述，宁波银行严重违反银保监会的管理规定，欺诈消费者，变相收取高于高利贷的费用。现在要求提前全额还款，同时退还超出监管规定不合理的手续费，希望宁波银行方面规范业务，加紧处理该事宜，请有关国家相关部门予以监管，还百姓以公道！！！"
" 功能限制,冻结账户,资金流失",宁波银行,2022年07月25日 12:48," 解释,赔偿,解封账户",2022.07.25宁波银行直接贷贷款，合同签订并放款到宁波银行的电子银行里面。要提现提示账号停止交易，必须柜面交易。（提示代码4100）.请问宁波银行，所有的手续包括办理都是在网上操作的，你引导我办理账号加贷款，现在我贷款办理出来了，你利息收了，钱不让我转账是什么意思。提示，不是第一次发生了，而且我也不是新客户。你这行为符合银行的7不准吗？贷款放到电子银行不让客户提取转账。利息又一直再算，你和强盗行为有何区别。已经和银行沟通2次了，还是没有结果，拖着不是事，必须投诉。不行，就打银监会。
 未经同意的贷款,宁波银行,2022年07月25日 08:59," 道歉,作出处罚",2020年11月07日宁波银行股份有限公司发放48300元（人民币）其他个人消费贷款，长期有效。截止2022年6月，余额1089.在个人征信上有这么一段话，但是本人根本不知道这个是什么贷款，也从未听说这个银行，完全不知道是怎么回事。请求核实，去掉此记录
 暴力催收,宁波银行,2022年07月23日 21:07, 停催停爆通讯录,宁波银行和众安保险直接藐视法律，逾期第一天打了二十几个电话，和宁波银行客服沟通希望给予几天时间停催我想办法筹钱还上，众安保险催收也同意停催三天，可是逾期第二天人工催收是没有了，结果来的是机器人电话威胁上门网上曝光居委会大喇叭叫喊，也有十几个电话，第三天也就是今天直接爆我通话记录和通讯录微信乱加我朋友，本人已经崩溃昨天家庭已破碎老婆孩子离家出走，希望给予他们制裁处罚停催停爆通讯录。还有宁波银行的合同如下图写的是年利率7.2分十二期，可是真正利率已经超过百分之24
 终端设备故障,宁波银行,2022年07月23日 01:48, 恢复征信,2022年6月30日升级维护导致我逾期一天罚息，0点过后就直接还上了，但显示逾期一天，因为上海处于小区封闭隔离，手机银行汇款受限无法前往银行汇款，我提前一天也有过申请和沟通，但都未给予处理，之后app上联系客户经理一直未给予回应，对我而言不公平，导致我信用受损无法再次贷款，请查询后，恢复我的征信信用，利息是小事无所谓，今天房贷说我有逾期记录（附上小区封控通知、还款时间就等系统开通晚一分钟）
" 虚假宣传,万利金高额手续费",宁波银行,2022年07月22日 13:37," 退款,改善服务",2019年办理的宁波银行万利金信用卡，共计提款30万。当时银行的说法是，还款满一年后提前还款无任何手续费！现在我老老实实还了35期贷款，如果要提前还款，竟然需要收3%剩余本金的手续费，哪有这种道理？前面我分期的多笔已经交过分期手续费了，每期都交1500多元手续费，已经还了35期手续费了。现在提前还款还需要再缴纳5000元的手续费，是欺诈呀。当时办理的时候根本不是这样讲的，说满一年后提前还款不收手续费的。现在要求提前还款，并免于支付提前还款手续费，请协助。
 虚假宣传,宁波银行,2022年07月22日 11:50, 退款,2021年9月，宁波银行业务员到我们单位办理业务，给我办理了信用卡。11月，业务员电话告知现在的贷款年利率只有2.88%，下款后可以购买理财或投资，比较划算，实际我并没有投资需求和用款需求。在确认年利率2.88%的情况下，在业务员的鼓动下，由其操作我的手机给我办理了30万元五年（60期）的贷款作为备用金，并未告知提前还清贷款需支付高额手续费。自下款后至2022年5月这半年时间，我曾多次跟业务员提出，我没有用款需求，希望把钱还给他们，每次都以利率低为由说服我。++++直到2022年5月7日，我正式明确提出要提前还掉贷款，业务员才告知提前结清需要支付未还本金的3%“手续费”，同时我发现利率并非最初的2.88%，宁波银行用错误的、虚假的、具有误导性的利息计算方法，即以等额本息产生的利息额却除以全部贷款总额的计算方式计算。实际利率约是2.88%的2倍多。++++宁波银行及其业务员不按国家规定明确真实年化利率，坑害消费者，增加消费者负担，增加消费者心理压力。看到黑猫平台许多与我一样的受害者，实在懊恼。现在强烈要求不收手续费的前提下取消该笔贷款，希望宁波银行方面规范业务，加紧处理该事宜，以期公道。请有关国家部门监管！
 冻结账户,宁波银行,2022年07月21日 16:14," 解释,改善服务,解封账户",正常使用给停掉，为什么不联系本人呢，不给本人通知呢，现在一下这种情况怎么处理
 冻结账户,宁波银行,2022年07月20日 17:00, 正常放款,宁波银行通过电话主动邀请我使用直接贷业务，后续使用过程中我多次跟其客服人员确认额度是否循环，客服都给予肯定答复。本人使用该业务半年多未有逾期情况出现，可是在今日还款后，在显示有额度的情况下无法放款，造成本人资金使用极其不便，客服以综合评分不足且人工无法干预为由，让我一周后再试，并未给予明确答复。使我对后续还款及业务的正常使用产生了怀疑。希望宁波银行作为正规银行可以重视，疫情期间大家资金周转都不易，不要轻易破坏一个客户的资金链。
 私自放贷,宁波银行,2022年07月20日 12:14," 解释,删除征信记录",查询个人征信时，查到有宁波银行的贷款记录。但本人从未向宁波银行提供过个人的任何信息，也没有要求提供任何贷款服务，在此要求作出解释，并且取消贷款服务，删除个人征信记录。
" 直接贷利率超高,还不能一次还款",宁波银行,2022年07月20日 10:19, 建议帮忙降低利率,5月19日在宁波银行直接贷贷款45200，每月19日还款，目前已还了两期正常的，第一期还了4256元，其中本金3465.94，利息791，第二期还了4143.94，本金3517.93，利息626.01，还了一次15004.75，目前一天只能还8000-9000元左右，昨天试了还过几次，想一天还个一万，都还不进去，而且是分几次还，要还清贷款得三天，而利率这么高，还款还不便捷，请求宁波银行考虑调低利率，谢谢。
 自动分期,宁波银行,2022年07月19日 22:27, 退款,我在6月27日用信用卡消费了13600元，当时微信是有发信息给我的，但是平时不太注意。今天这个月的账单出来的时候发现金额有点不对，然后自信看了下账单发现这笔13600的消费给自动分期了。而且是直接给我分了36期。第一期的手续费48.96元。后来我再看这笔消费的时候才发现他是自动分期的。我完全不知道为什么会自动分期。现在要求取消自动分期，取消第一期的手续费。
 冻结账户,宁波银行,2022年07月18日 14:51, 解封账户,在2021年8月份我宁波银行总贷款金额195***，8月中旬接到宁波银行客服电话说我涉嫌以贷养贷，然后客服直接给我报上去冻结了，我是有点小生意在做需要资金周转并非以贷养贷，现在还欠宁波银行900多元，直接贷合同到期2023年，降额至35000实际可用余额为0，我利息又不少你们宁波银行的，你们突然这样操作是想逼死客户吗？
 私自放贷,宁波银行,2022年07月17日 14:31, 解除贷款记录,在本人不知情情况下私自办理贷款，目前不知贷款去向，且已在征信留下记录，本人声明从未办理过宁波银行贷款，要求消除此贷款记录，并在征信记录中抹除记录！
 虚假宣传,宁波银行,2022年07月16日 00:31," 退款,免收手续费提前还款",2019年因资金紧张需要办理借贷卡，当时货比三家，其他银行大部分利率在7%左右，宁波银行万利金宣传利率是月0.6%，还可以提供优惠券，实际利率在5%左右，办卡使用后却发现实际利率达到了年化15%左右，和信用卡一样，且用款后提前还款收取3%利息，无奈用款已消费后才发现，悔之晚矣，无奈承受高额利息至今。目前3年前后所付利息与手续费实际已经达到了接近50%，约20万，宁波银行更是直接取消了贷款客户查看贷款记录及手续费的权限，让人无从查起，侵犯了客户的知情权，现在想提前还款更是霸王行径直接取消了提前还款选项，而通过分期变更变相提前还款单次手续费更高达3%+1.5%，与传统商业银行年化利率相当，本次申请提前无手续费还款，并追回之前变更分期引发的高额手续费。
 提前还款收3%违约金,宁波银行,2022年07月15日 09:34, 免收违约金,2021年8月在宁波银行办理万利金信用卡，共计提款30万，2022年7月打算提前还款时，客户告知需要收取剩余本金3%的手续费，自办理信用卡至今，我每月均按期交付了分期手续费900元，已交了9期手续费共计8100元，现提前还款还需收取7500元手续费，是不合理要求。我希望提前还款，并免收提前还款手续费。请协助，谢谢！
" 钓鱼纠纷,合作商户不诚信,工作效率慢",宁波银行,2022年07月14日 09:26, 降低利息至5折,6.19日我第一次跟宁波银行反馈我的借款显示系统繁忙无法借款。（5折利息抵扣券显示27号到期）致电客服客服说暂时没有碰到这个情况过，后台也显示我是正常用户有20w的额度可以使用，所以让我多试几次看看，并且让我把截图提供给宁波公众号。然后让我等着1-3个工作日。但是一直没有给我任何解决方案，直到7.13日（宁波银行工作人员让我多试试的原因）我抱着试试心态提交贷款申请竟然直接给我提现出来了。我觉得这完全就是为了赚高利息的钓鱼借款方式。因为有和没有折扣券，我这利息相差1w元。今日7.14我致电客服还是跟我说帮我反馈1-3个工作日给我答复。我已经不相信如此的工作效率还能够为我解决什么问题吗？
" 客服拖延处理产生罚息,拒绝协商停息挂账,协商金额存在疑问,不提供协商分期账单",宁波银行,2022年07月13日 18:13," 给予本金个性化分期,停息挂账,停止暴力催收,提供分期账单",宁波银行直接贷逾期后工作人员了解我方无力偿还贷款却未及时跟进处理，导致我方罚息增多，后多次致电要求与银行协商还款未果。后拨打宁波银行消保电话，工作人员才致电协商，协商过程中金额存在疑问，本人本金为22962.45元，截止2022.07.13日连同罚息为24229.92元，工作人员说截止2022.07.05日已连同罚息共计24500元，要求本人以24500元为本次协商本金进行为期12个月的个性化分期，同时拒绝提供清单。要求宁波银行给予本金个性化分期，停止暴力催收，同时提供分期账单。
" 功能限制,还款失败",宁波银行,2022年07月12日 21:30," 改善服务,提高效率,协助提前还款",本人于2022年6月28日向宁波银行直接贷借款15000元，绑的借款还款卡都是工商银行借记卡，7月12日下午还款试了7.8次都是还款失败，打电话给宁波银行客服根据客户提示操作了半天也还是还款失败，客服也没有给出具体的解决方法，此产品介绍是随借随还可以提前还款。到底是系统问题还是人为给还款人设置障碍以谋取利息，逾期费等？
" 虚假宣传,客服服务态度差,高利贷,自动分期",宁波银行,2022年07月11日 14:33," 退款,减免手续费",1、客户经理诱导客户误以为年化只有3.6%，只强调每期还款利率0.3%，没给客户一个准确的实际利率！2、通过心理战术，让客户抢这个优惠利率，着急忙慌的办理完后才有脑子去思考，是否真如他所说利率如此低。3、办理完毕后才发现每月还掉的本金继续算利息，产品真实年化远远超过宣传利率。4、15万额度，一部分是现金分期，一部分是信用卡形式消费分期，消费分期部分没有让客户自主确认操作，也未展示实际还款计划表5、提前还款还要另外扣费，3%的高额手续费
" 违法放贷,违法放贷",宁波银行,2022年07月09日 13:46, 解释并清除,个人征信查到22年有1笔宁波银行17600的贷款，从未申请过。银行涉及违法放贷，需要给与解释并清除影响
 贷款手续费高,宁波银行,2022年07月08日 08:28, 赔偿,万利金宣传利率与实际利率不符合，提前还款收取大额手续费
 信用卡停用,宁波银行,2022年07月07日 15:25," 解释,解封账户",我在饿了么平台申请了一张宁波银行的信用卡，申请下来后客服告知我要去柜台激活，于是我带着东西就去了，折腾了好半天才给我激活，用了没两天，在没有告知我的情况下，也没有任何消息的情况下，私自冻结了我的信用卡，多次打客服电话都没有解决，在线客服也不给解决，一直都是反馈反馈，目前我只希望能解开，让我能正常使用，也希望有关部门就管一管这种现象，在我不知情的情况下随意冻结
" 直接贷协商还款,直接贷不给协商还款",宁波银行,2022年07月07日 10:08, 停催，协商还款,因为疫情原因导致债务全面崩盘，本人在宁波银行宁来花直接贷欠款20800，现因收入问题，无法进行还款，特主动打电话给银行协商，想办理二次分期或者延期政策，银行这边一直联系我们换最低的一笔，但是会有很高的罚息和违约金，我没同意，宁波银行这超坚决不与协商
 私自放贷,宁波银行,2022年07月07日 09:37, 解除贷款记录,在本人不知情情况下私自办理贷款，目前不知贷款去向，且已在征信留下记录，本人声明从未办理过宁波银行贷款，要求消除此贷款记录，并在征信记录中抹除记录！
 虚假宣传,宁波银行,2022年07月06日 09:43, 赔偿,6月初购买浙商银行车险，说与宁波银行有联合活动，办信用卡奖励150元，后续开卡励100元，结果只有用卡优惠19.99！现在一个月都要到了，奖励还未到账，没人跟进，涉嫌虚假宣传，要求赔偿250元！
 违法房贷,宁波银行,2022年07月04日 21:07," 退款,赔偿",我的征信记录莫名其妙出现了宁波银行的贷款！数额多达四万多人民币！本人从未进行过任何贷款！也从未办理过宁波银行的银行卡或信用卡！也从未接到过宁波银行的电活！这个行为太恶劣了，要不是我今天查了征信，我永远对不会知道自己竟然被贷款了！！！太过分了
 虚假宣传,宁波银行,2022年07月04日 17:45, 取消违约金,宁波银行信用卡贷款25万，实际利率比宣传的高很多，想提前还清，还要收取违约金，强烈要求取消违约金！
 虚假宣传,宁波银行,2022年07月04日 12:30," 赔偿,免去提前还款手续费",21年下半年想扩大店面，做一笔贷款，联系了其他银行，后来阴差阳错联系到宁波银行，当时承诺贷款利息比其他银行低，3.6左右，每个月还8700多，来到银行办理，问当时新街口银行行长具体利息多少，他说要等下款才能知道，不给一个明确的信息，当时三个人，直接刷出来245***，告诉我回去找个地方在刷出来245***，上了鬼子当，第一个月还款时联系了当时的业务员，告诉我这不叫利息，叫使用费，5年时间490***的贷款要还进去将近60万，每个月9700多，还有回访电话问我满意不，当时就告诉回访人员非常不满意，后面就没有人联系我了，最近看到万利金骗局投诉的人很多，就来这个平台看看，诉求很简单，提前还款免去手续费，前面的利息按照正常利息计算，归还多还的部分，银行客服电话投诉已经三个工作日了，没有任何回复，业务员到店里承诺的利息视频暂时先不提供，有必要的话会提供给法院，或者银保监会，第三张图片为每个月消费信息，没去过这几个地方，
