投诉问题,投诉对象,发布日期,投诉要求,投诉内容
" 微信无故出现南京银行,微信无故出现南京银行",南京银行鑫梦享,2022年08月16日 00:01," 改善服务,恢复账号",微信无故出现南京银行绑定本人微信，我点错充值充值了1999元和1900元不能退还不了。我马上解除绑定，不知道怎么退还。投诉无果，必须道歉。
 霸王条款，超高利息,南京银行鑫梦享,2022年08月14日 16:26, 提前还款，免除违约金,本人在2022年6月份，通过南京银行的工作人员的帮助下，申请了南京银行鑫梦想贷款。利率高达14.4%。申请时工作人员告知可以提前还款，并无违约金。本人因疫情原因收入减少，致电南京银行现在本人需要提前还款，但是南京银行告知无法提前还款，告知必须还满6个月后才能提前并且还要收取违约金5%。这样的霸王条款，希望能给个解释。现在本人想提前还款，并免除违约金。
 高额违约金,南京银行鑫梦享,2022年08月12日 11:32, 减免违约金,疫情的时候因为资金短缺向南京银行借了20万贷款，已按时还款3期，现在资金周转过来可以提前还款了，但南京银行需要我支付高达5%的违约金，原本借款年化就高达10.8％，未还本金加5%的违约金相当于两个月的本金加利息，利率是否已经超过国家标准，望处理
" 不停骚扰我的老板,导致我丢了工作",南京银行鑫梦享,2022年08月11日 18:13," 解释,停止骚扰",南京银行不停骚扰我的老板，导致我丢了工作，领导也不能正常工作，甚至还去了我老板的家里
 南京银行诚信贷逾期,南京银行鑫梦享,2022年08月11日 15:33, 希望重新制定一个还款,债务多每个月都要均摊，，希望重新制定一个还款计划，做个分期，12期清完，
" 客服服务态度差,利息罚息高",南京银行鑫梦享,2022年08月11日 13:54," 解释,免息还款",利息太高，两个月涨了两千，诉求免息还款，打客服电话，客服说他们不受理
 暴力催手 收取手续费,南京银行鑫梦享,2022年08月08日 10:18, 降低利息 减免违约金,2021年6月本人经中介介绍向南京银行鑫梦享申请一笔消费贷款（36期），迄今为止已按时还款11期 现在考虑申请分5年期限还清，可是南京银行说没有这个政策，疫情情况下经济情况下滑，没有协商解决方案，与南京银行讲诉目前没有能力还款的情况下派第三方人员上门催收，有第三方催收联系，泄露个人隐私
 暴力催收，恐吓,南京银行鑫梦享,2022年08月08日 01:33, 停止骚扰,我刚找到工作上班，计划工资发了每月还一点进去。你们的催收人员委婉法院传票，又是上门调查。又是去工作单位了解。还让我去找别人借钱，态度极其恶劣。那条法律规定可以这样？我不介意走法律程序。
 客服服务态度差,南京银行鑫梦享,2022年08月07日 16:18," 解释,改善服务,赔偿",之前有想协商停催，因为之前疫情影响，几个月没开单，没有收入，都是借钱生活，平台让我还了，说是停催到月底，没有办法，只能逾期下去，我接电话不和我协商，每次黑猫投诉打电话过来就让我先还一笔，我要真的能还我能逾期吗？我只是让平台停催到年底，基本就可以解决问题了。我又想还款，但是无奈收入太少，基本生活都满足不了，平台让我借钱，我也不能每次都找别人，这刚找了一份工作，就给我发短信说是要起诉我了，都不协商，
 强硬 停止催收,南京银行鑫梦享,2022年08月07日 09:10," 解释,改善服务,有效沟通,停止暴力",2022.8.6+私自去我身份证地址处贴催收涵+本人微信有南京银行贷后+一直未失联+为什么上门采用暴力+房子是租客+影响了我的正常生活+刚逾期一个月+做法恶劣+没有听取我任何解释未给我机会+因为疫情加上房地产市场+本人家具厂上个月刚关闭+贷款也是这个月刚欠+做法欠妥+需要合法和平+我也未逃避
 利息从0.8提到18,南京银行鑫梦享,2022年08月06日 11:42, 降低利息，减轻负担,南京银行鑫梦享利息太高到了无法承受的地步，疫情反复，工作不稳定，希望该行以人为本降息。
 恶意收取高额违约金,南京银行鑫梦享,2022年08月05日 17:56, 减免违约金,2021年2月本人经中介介绍向南京银行鑫梦享申请一笔消费贷款（48期），迄今已按时还款六期，现考虑申请提前还款，可是现在南京银行告知我承担剩余未还本金5%的违约金；当时业务专员以及中介人员没有说明鑫梦享提前还款需要支付违约金，存在诱骗误导情形。 疫情情况下年化18%高额利息下，我凑足所有本金想要提前还款，本人按时还款6期金额达到17622元，现在居然还要收取5000多元的违约金。合计20000多元，10万元的借款半年还2万多，远远超过了国家规定的利率难道不是高利贷？在大环境这样的情况下对南京银行保持很大的质疑，并将会向银保监投诉。 望贵平台能帮处理
 提前还款收取违约金,南京银行鑫梦享,2022年08月05日 16:46, 免除或者减免违约金,已经还款满6个月还需要支付违约金，而且违约金数额比较大，希望免除或者减免违约金。两笔诚易贷：5万，2021.1.14申请，48期，剩余30期，提前还款违约金1685.79元；20万，2021.1.14申请，48期，剩余30期，提前还款违约金6743.19元。违约金2笔，1685.79+6743.19=8428.98
 暴力催收威胁恐吓,南京银行鑫梦享,2022年08月05日 12:50," 解释,改善服务",家里生意失败导致欠款逾期，有第三方催收联系，威胁恐吓骚扰，希望停止催收能协商还款
 利息高，不合理,南京银行鑫梦享,2022年08月05日 12:25," 退款,解释",故意10万分2笔放款，抬高利息，还了半年，利息太高，想全部还，现在又说要违约金。欺骗消费者。
" 超高利息,乱用借款人征信",南京银行鑫梦享,2022年08月04日 18:48," 退款,改善服务,赔偿",20年开始通过分期乐合作平台借钱  每一笔利息都超24%～36％  放校园贷  没有做背景调查   乱上征信
" 暴力催收,恐吓",南京银行鑫梦享,2022年08月04日 11:30," 停止骚扰,道歉",南京银行鑫梦享催收人员，在可以联系到本人的情况下，频繁联系我妹妹，我妹妹还在读书，禁受不住你们这样暴力恐吓的催收方式，要求贵司停止违规催收行为！！！！
 暴力催收泄漏个人隐私,南京银行鑫梦享,2022年08月02日 15:14, 道歉合理协商解决问题,本人于2021年4月接到自称是南京银行贷款中心的工作人员来电，说我有一笔二十万的信用贷款额度，随后给了我位于上海浦东新区浦东南路1118号鄂尔多斯国际大厦的地址，在一个名为鑫享贷的公司被他们工作人员使用我的手机操作申请了此笔贷款，而后向我收取了9300元手续费，之前每期都按时还款，近期因为上海的严重疫情隔离在家三个多月，无法工作，没有收入而导致贷款逾期，多次和银行客服说明个人情况，希望银行能考虑我当前所面临的困境给予一定的时间宽限或协商方案，但银行不予理会，现在每天收到多个自称是南京银行的工作人员的暴力催收，骚扰电话，说要去工作所在地；户籍所在地调查，要通知家里人亲戚朋友协助还款，要起诉我，因此事我天天失眠心理压力巨大，希望相关部门能处理此事！
" 客服服务态度差,催收问题",南京银行鑫梦享,2022年08月02日 09:23," 改善服务,停止骚扰",本人在唯品会取现申请贷款由南京银行出资，由于地处边境地区近年来疫情一直反反复复+自2021年四月至2022年四月底一直处于居家状态，生意也失败了，没有任何收入+生活也困难+在此期间我一直按期还款，但最近由于其他债务也爆发，一个自称南京银行的客服每天都打来电话，态度恶劣就算了还一直逼人+对我造成了严重的心理影响+每天都在焦虑，失眠中度过。我也说有钱了会第一时间还款，只是需要时间挣钱，希望能协商一下，客服不但拒绝了协商还款还让我自己想办法，还说还不上就走法律程序之类的措辞，这更让我焦虑+恐慌。本人真的不是不还，是遇到困难了希望贵银行能给予点理解跟宽容，能延期还款和停止催收的方案，赚到钱我会还的，现在这样的环境下好不容易找到工作，不能失去工作呀，我还要挣钱还钱呢
 暴力催收,南京银行鑫梦享,2022年08月01日 16:01, 停止骚扰,南京银行鑫梦享的诚易贷，逾期之后每天都给我打电话催收，并经常给我老公打电话催收，前几天就一直打电话跟我说好几次，说这个礼拜一要去我家和单位，今天上午我打电话的时候进来一个电话我就没接，之后就收到一个短信说这两天要去我家和单位了，我的诉求是希望银行针对我的现状双方协商一个合理的还款计划，我是本着积极还款的态度的，但是因为大环境因素和家里确实有病人，也有两个嗷嗷待哺的宝宝，希望给予理解同时希望不要涉及到我的家人和同事，最后两张是打给我老公手机的截图
 恶意催收,南京银行鑫梦享,2022年07月30日 11:53, 停止催收，协商还款,电话发给我，当然我正在接电话，然后就说联系不上本人，给紧急联系人打电话，我就想问下，这就叫联系不上本人？
" 违规催收,威胁恐吓",南京银行鑫梦享,2022年07月30日 10:40," 道歉,作出处罚,停催,协商还款",我在唯品会上面借的借款放款方是南京银行，因为在上海这边受疫情影响，现在资金周转不开导致逾期了，之前也给南京银行打过电话想协商还款，但是他们那边说暂时没有政策，我也给他们说过在能联系到我本人的情况下不要去联系我以外的人，紧急联系人，为什么是紧急联系人，因为只限于紧急联系，还找我要紧急联系人的电话，现在直接在能联系到我本人的情况下跳过我想去联系别人，还有让我去找亲戚朋友爹妈老子去借，诱导我去新增新的借款来还她催收的平台，这不是违规催收吗？还威胁恐吓本人以后小孩不能上大学什么的，还带侮辱性语言，现在法庭宣判了吗？说我是老赖，我从来没有说不还，欠债还钱天经地义，我只是现在没有能力还款，希望平台给予时间赚钱还款，希望平台核实该催收员做出处罚，也希望能协商还款，我现在只能处理能力范围内的，唯品会上那个买东西那里的唯品花我每个月都有在还，现在确实是比较困难，所以金额大点的我确实暂时无法处理。
 不肯协商,南京银行鑫梦享,2022年07月28日 11:58, 协商解决,之前在南京银行贷了一笔10万的贷款，还完了，后来额度可以循环使用，他们客服经理发消息给我说可以再借，我当时也正好有急用，就又分了三次借了出来，这三次分别都给了额外的手续的，一直以来我都是到时间就按时还款，由于今年疫情，父亲生病，做生意亏本，导致我无法还款，一直我都积极协商希望能够重新分期，或者延期还款，他们一直不肯跟我协商，坚持三个月让我还完，我现在真的拿不出这些钱，他们不跟我谈直接向法院起诉我，让法官来执行现在到我单位保全财产，让单位只给我发1500的生活费，我欠钱还钱，天经地义，我做的错事，我承担后果，但是银行真的很搞笑，上午执法的来我单位让我单位给我执行1500，下午他们银行的律师打电话和我说可以给我按1500一个月还，问我行不行，我说可以，但我说你们上午已经有执法的过来我单位了，他说，那这样的话就不能了，只能走法律程序了，我想说你银行既然有这个政策为什么不早说，非要等到执行了才说，你说这是你们私下达成的协商，那我跟你谈了几个月，为什么就不松这个口，我现在怀疑就是故意等到这个时候的吗
 暴力催收,南京银行鑫梦享,2022年07月27日 11:54," 道歉,改善服务",希望南京银行别催促，没有钱还，疫情原因，今天有个人打电话过来服务态度非常不好，希望得到改善。延迟还款，之前打进去500，我不是不还，有钱就打进去的，
 客服不处理,南京银行鑫梦享,2022年07月26日 15:40, 赔偿,违规贷款，之前说协商还款有钱就还上，现在被南京银行起诉，还让我承担起诉费和保全费，未通知我
 利率太高,南京银行鑫梦享,2022年07月21日 11:07, 免息还款,本人于今年二月份通过中介公司借到了南京银行鑫梦享贷款，本来说是低息0.8%结果借到了说是18%，当时因为急着用钱就没仔细想，中介和银行业务员都说可以提前还款，根本没说还要这么高的违约金，现在我想提前还款就跟我要5%的违约金，而且我借的是南京银行贷款，但是我看南京银行APP里显示我借的两家网贷，这不是欺诈吗？我现在强烈要求退还我已支付的利息和免违约金结清贷款！
 利率太高,南京银行鑫梦享,2022年07月20日 22:53, 免息还款,原先借款利率说的是8%现在发现是18%要求免息还本金
 恶意催收,南京银行鑫梦享,2022年07月20日 18:24, 协商处理,本人去年三月份被一个朋友骗去一个叫信义贷的贷款公司做担保，朋友借了七万元债务，签字写的合同也是他按的手印签的字，我都不知道最后咋回事那个贷款公司把钱打到我的账户上，然后以我的名义贷款的南京银行你好e贷的钱，分的十二期，到2022年四月份到期，之前里面的利息一直都是朋友在还款，直到前一段时间南京银行的催收电话联系我让我还钱，我都蒙了，签字按手印用的钱都没经过我手，然后我也和我那个朋友多次沟通让他还钱，但是他也暂时没钱还，我本人因为疫情也没有钱，我们就和催收的那个人协商说分十二期，每个月还款五千，最后一个月全部还清，他说不行，等不了那么久，要法律起诉我，搞的一肚子气，都不是本人借钱的，我都没用一分钱，现在怎么说都不管用，要命一样的催收，各种威胁，我自己都被骗了，我都想报警处理又怕报警了我那个朋友一毛钱不还，到时候只会越拖越久，现在只能我每个月先还五千，分十二期还款，多一点利息都行，希望银行能严肃处理，停止催收，停止威胁，协商处理，最后附上我朋友的贷款证明，证明真的不是本人贷款的，我也是受害者，反正都是各种套路，各种坑……
" 客服服务态度差,暴力催收",南京银行鑫梦享,2022年07月20日 15:55, 停止暴力催收,之前被人拉去贷款8w元，被人坑了，加上疫情导致逾期，也和之前催收的工作人员说明了情况，工作人员拒绝沟通只要还钱不管情况，且工作人员不信且态度恶劣，后续不停打电话发短信骚扰，且派人上门和上公司，不停骚扰前台人事行政还有本人，导致心力交瘁，最近也在还款，还是没有停止这些暴力催收影响生活工作的行为，言语上甚至有威胁的意思，希望停止该行为，否则丢了工作更还不了相关款项
 暴力催收,南京银行鑫梦享,2022年07月20日 10:13, 解释,本人在唯品花贷款，是南京银行放的款，之前和唯品花协商，唯品会说要找南京银行，找到南京银行之后，客服态度十分不好，说给我登记，一直也没回复我，我因为收入不高，父母没有收入，都是我在抚养，母亲这边身体也不要好，本人因为前面一段时间，患过抑郁症，住院治疗导致身边朋友钱都还欠着，想和银行协商，银行不管，南京银行催收打电话来说要上门催收，去我工作单位和户籍地。
 不给二次分期,南京银行鑫梦享,2022年07月19日 19:06, 二次分期60个月,本人在南京银行鑫梦享陆续借款23万左右，这两年疫情，实在无力还款，目前逾期一个月左右，想要协商还款，一直不同意，后面发短信打电话说上门催收，威胁恐吓，我害怕至极，后面又来电话说可以分48个月，23万，48个月，我还是压力巨大，我想要60个月，否则，后期还款压力太大，希望南京银行能给出解决方案
" 高利率超额发放贷款,霸王合同条款",南京银行鑫梦享,2022年07月19日 16:48," 退回多收的所谓违约金,退回多收利息",我本人有房贷，基本工资3900元，南京银行贷款人员竟然能通过鑫梦享贷款软件发放250***元贷款额度，贷款利率为惊人10.8（我咨询其他银行，正常利率在5.8左右，我正常申请贷款金额在3万左右），多次催促我全部提出金额，最后我提出200***元，由于批给我贷款的额度和我的还款能力严重不符合导致后期没有能力偿还剩余贷款，最后想借钱把这个高利息贷款提前还清，咨询后被告知不能提前还款，提前还款需付剩余本金5%违约金（霸王条款）。强烈要求南京银行把强收的所谓违约金和非正常部分利息还给我。
 提前还款不免违约金,南京银行鑫梦享,2022年07月19日 14:24, 提前还款免去违约金,本人在鑫梦享贷了十万，当时贷款经理要我以个人名义去贷款教了我应对视频各种话术，至今还了13个月，因利息太高，差不多每个月还3000，利息就要1400多，加上上海疫情影响连着两个月的0收入，实在还不上贷款，现在想提前还款还要收取利息和违约金，实在没有办法了，提前还款请求撤销违约金和利息！
" 客服不处理,服务不到位,拒绝协商",南京银行鑫梦享,2022年07月19日 09:32," 改善服务,协商还款",本人在2017.6.7京东金融借款南京银行诚易贷10000金额，只还了一期，由于个人的原因后面及时没有还上，造成逾期了，希望可以协商延期或者贷款重组拉长年限，但南京银行让第三方催收公司催收，暴力催收，打电话到我单位公司，亲戚朋友，希望平台能帮帮我
 客服服务态度差,南京银行鑫梦享,2022年07月18日 15:33, 解释,不是恶意逾期和骗贷不还款逾期不还。希望从新沟通欠款协商一下
" 合作商户不诚信,虚假宣传",南京银行鑫梦享,2022年07月14日 21:30," 改善服务,赔偿",一开始我了解到情况是月6厘，年化7.2%，但是银行合同和还款表却是14.4%，我当时很困，就没仔细看，就记得并信任宣传的7.2%。希望能按照宣传的利率来，或者终止合同。
 费用过高,南京银行鑫梦享,2022年07月14日 10:37, 退款,本人在快易花平台贷款，放款方是南京银行，最近发现在于南京银行签署的借款合同中，利率年化30%.最高可达到35.88%.已经违反国家规定的15.4%.现在要求南京银行退还不合理利息
 协商还款,南京银行鑫梦享,2022年07月13日 16:47, 协商还款,本人老婆去年抑郁症复发 需要照顾  加上一段时间的疫情  导致有一年多的时间没有工作和收入来源 导致在支付宝借呗中有25000元逾期 暂时无能力一次还清 放款方是南京银行 在和南京银行客服联系后 客服要求提供资料和困难证明 在提供后银行没有给任何理由就拒绝了 本人从2018年开始就多次在支付宝里借贷过 也多次结清贷款 放款方都是南京银行  从未逾期过 今年由于多方面的影响 经济困难导致逾期 希望给与协商还款
 高利贷,南京银行鑫梦享,2022年07月12日 21:49," 退款,赔偿",本人在分期乐平台借款，其中南京银行放款金额为9535，其年化利率都超过国家标准24%，本人希望南京银行退还其利息，以下是借款截图
" 客服不处理,不予退款,服务不到位,虚假宣传,联系不到客服,虚假发货,账号问题,拒不发货,假货,逾期未发货,价格问题,未履行7天无理由退货,优惠券问题,未履行保价承诺,三包问题,漏发商品,刷单,发票问题,快件丢失",南京银行鑫梦享,2022年07月12日 02:21," 退款,赔偿,道歉,作出处罚",办了南京银行乐花卡，用了就有利息，妈的害人，说南京银行信用卡，没有利息，上来就分期，分期年华24，说是南京银行虚拟信用卡，客户经理叫郑园园，带了两个人来办的单，办单人员记不清了
" 客服不处理,虚假宣传",南京银行鑫梦享,2022年07月09日 20:27," 修改宣传内容,补发赠品",88元购买南京银行Ncard超级会员，明确可以选择领取饿了么一年会员，实际上拒绝领取，客服解释理由是付费购买会员超过10天不能领取。但是会员协议条款并未明确约定。实际上相当于我花88元，没有领到会员，其他人有。好恶心诉求：要么补给饿了么会员，要么按比例退还会员费用。
 暴力催收,南京银行鑫梦享,2022年07月09日 17:26," 道歉,改善服务",本人在唯品会平台的借款出资方是南京银行，2022年3月份开始逾期，逾期后多次致电南京银行说明逾期原因，希望银行给予协商还款政策，多次被银行拒绝。逾期初至2022年7月，多次接到自称南京银行委托方的催收电话，在2022年7月9日下午1：56分先是收到一条短信，紧接着接到自称是受南京银行处理我唯品花取现逾期问题，沟通中此人拒绝报工工号，只说是受南京银行委托，并极其猖狂的说我不处理就去联系我户籍地的村委会，并联系我的亲朋好久来帮我处理，在如今的法治社会，如此明目张胆的对借款人进行恐吓威胁已经属于严重的暴力催收，现在希望南京银行给予我一个说法，否则我将投诉到银保监会！
" 虚假宣传,客服服务态度差",南京银行鑫梦享,2022年07月08日 02:01," 退款,改善服务",南京银行鑫梦享借了5万元，年化率利息高达18点多，实际超过此数值远超过国家标准，家里打算买房子提前还款却要还2500元高额违约金，事先办理贷款时并没有说明！
" 私自扣款,提前还款违约金",南京银行鑫梦享,2022年07月06日 14:12, 退款,中介诱导办理贷款并收取大额中介费。年化根本和实际的不一样。并且说6个月之后就可以提前还，也没说过有违约金之类的。今天准备提前还款时发现有6000多的违约金，比利息还多
 客服服务态度差,南京银行鑫梦享,2022年07月06日 10:51, 改善服务,之前因为疫情，无法按时还款，平台让我还了一个月的，现在还是无法按时还款，希望平台给予政策，西安又因为疫情影响无法按时上班
" 虚假宣传,客服服务态度差,暴力催收,恐吓威胁",南京银行鑫梦享,2022年07月04日 12:31," 解释,改善服务,赔偿",本人因为疫情原因导致资金周转困难，以至于逾期偿还债务，但是对方一直打电话恐吓威胁我，暴力催收，服务态度极其恶劣，拒绝与我正常沟通，还泄漏我的个人信息，曝我的通讯录，一直骚扰我的朋友和亲人，不断的电话短信轰炸我，这已经严重影响到我的生活了，对我的精神造成了严重困扰
" 客服服务态度差,不予协商",南京银行鑫梦享,2022年07月01日 20:43," 改善服务,给予协商事宜",本人在南京银行鑫梦享借款50000，以前一直每月按时还款，但是在上月因为家中出事，已经无力偿还每月债务，但是本人有还款意愿，打电话给客服，根本不予理会，只会让我还款，如果我有钱，何必逾期，每个人都不知道明天会怎样，而且我总要让我自己先活着我才能还款吧，国家法律难道就是把人逼死吗？希望南京银行方面可以给本人打电话，我愿意协商还款，谢谢
" 客服服务态度差,高利息,不协商,收取高额违约金",南京银行鑫梦享,2022年06月30日 13:56," 调整利息,道歉,协商",本人诚易贷借款50000，4-6月份因疫情原因没收入逾期，现在有资金想提前结清，结果客服态度生硬！而且利息国家规定15%，他18%远远高于国家规定，提前结清还要收取5%的手续费，这是霸王条款！我要求提前结清减免手续费和利息按照国家规定的来协商！！！
" 收取高额手续费,利息过高",南京银行鑫梦享,2022年06月29日 14:30," 退还高额手续费,降到国家规定利息,协商还款",我老公于2021年7月20日在南京鑫梦享申请了一笔50000元借款，年利率18%，分48期偿还，借款到账后并支付给所谓的客户经理手续费6250元，目前已还12期，由于疫情原因，现无力偿还高额利息，要求跟平台协商还款，并按照国家规定标准收取利息，退还收取的高额手续费
" 暴力催款,拒绝沟通",南京银行鑫梦享,2022年06月29日 12:26," 解封账户,停止暴力催收",我在2021年在唯品会借款现在总余额为4066元，逾期款为1883元，逾期时间18天，此期间南京银行无数次暴力催收恶意警告发律师函骚扰我家人，导致我生活严重受影响。我曾多次找客服并短期协商在指定时间还款，也在期间小金额还款，依旧没用，依旧无数次暴力催款。在疫情时期有困难，我也一一说明情况，依旧无动于衷。我希望南京银行可以体会一下人民辛苦，看一下最新的国家政策，停止暴力催款，善良对待人民群众！
 提前还款。违约金高,南京银行鑫梦享,2022年06月29日 07:14, 协商解决事宜,本人在2022年2月份，通过南京银行的工作人员的帮助下，申请了南京银行鑫梦想贷款。申请时工作人员告知可以提前还款，并无违约金。现在本人需要提前还款，但是无法提前还款，告知必须还满6个月后。才能提前并且还要收取违约金5%。这样的霸王条款，希望能给个解释，
 收取高额费用,南京银行鑫梦享,2022年06月28日 14:40, 退还所有费用,去年我在南京银行做了一笔极客贷20万，当时南京银行人员张晴跟我在苏州晨祥办的贷款，收了我16500的手续费，说我征信不行贷不了需要包装，要给银行打点一下，而且当时工作人员承诺我5厘的利息，实际却年化10点多，还承诺还款半年后可以免违约金提前还款，由于今年疫情影响，我逾期了，银行人员各种暴力催收，上门来录我视频来录音我，后来在逾期20天左右又去我户籍地找我父母，搞得我老家人都知道了，我父母顶着很大压力把逾期的还了，后来我父母说借钱帮我把它一次结清，但是却被告知要多花8000多违约金，现在本来就没钱还了，又逾期了，还要在多花8000多，本身才用了8个月的贷款，已经给了16500手续费，我算了利息也给了13400，现在又要8000多违约金，这完全就是高利贷啊，真的被逼的活不下去了！
" 客服服务态度差,暴力催收、协商还款",南京银行鑫梦享,2022年06月27日 19:00," 改善服务,解决问题友好协商",因疫情原因，生活变动及孩子生病等诸多原因，目前我一个人带着两个孩子生活，导致入不敷出，生活困难，我已经多次与南京银行协商延期还款，给我点缓冲和周转的时间，但是南京银行没有给出任何协商方案，只让我自己想办法解决，还说24小时内还不上就走法律程序之类的措辞，令我恐吓不安。本人真的不是不还，是真的遇到困难了，希望贵银行能给予点理解和宽容，给我个延期和停止催收的方案，等我努力赚到钱会第一时间偿还，如果继续催收搞到丢了工作，那就是把我往绝路上逼。
" 虚假宣传,高利贷",南京银行鑫梦享,2022年06月27日 15:06, 调整利率，降息还款,本人于2018年申请的南京银行鑫梦享诚易贷，在贷款基本还完后，因为创业失败，生活困难，又在南京银行鑫梦享APP上申请了280***元，分48期还款，合同明确写明年化利率10.8%，结果实际48期算下来本金 利息共计34万6千多，实际年化利率23.6%，实际利率太高远远超出预知，也超出了国家规定的利率。请南京银行重新调整利率，协商解决降息还款。
" 客服服务态度差,恶意骚扰",南京银行鑫梦享,2022年06月26日 16:22," 改善服务,停止催收",本人因疫情原因导致南京银行鑫梦享1376.39元逾期，南京银行多次对本人进行催收，对本人生活与工作产生了严重影响。一天几个催收电话，至于打那么多催收电话吗？本来本人工作原因就不方便就电话，别人不工作了？希望南京银行立即停止催收，谢谢！
 暴力催收,南京银行鑫梦享,2022年06月26日 11:59, 停止暴力催收行为,本人通过拍拍贷平台申请南京银行贷款17000元，第四期还款日为6月20日，因疫情原因本人收入受到影响，导致债务压力较大，预计最晚于7月2日前可还款至平台，联系拍拍贷客服协商，客服说只能停催3天，之后还是会联系家人朋友，本人有还款意愿，无奈只能投诉，今日又接到催收电话，说上午11点前不还款就通知通讯录所有联系人，本人在还款的前提下也不会容忍平台的暴力催收行为，会同步投诉到银监会和信访。
 收取砍头息,南京银行鑫梦享,2022年06月24日 22:11, 退款,南京银行通过第三方平台万达贷快易花发放贷款收取高额息费并收取国家明令禁止的属于违法违规行为的砍头息！账单我已发送在上面了，这么大的银行现在也搞这个事情，在国家认定违法行为还贸然收取砍头息，同样万达贷快易花这个平台更是违法违规的典范！暴力催收，收取高额利息！这个平台早该被清退！
